CountryID,Country and Area,"Forest Area, 1990","Forest Area, 2000","Forest Area, 2010","Forest Area, 2015","Forest Area, 2020","Total Land Area, 2020","Forest Area as a Proportion of Total Land Area, 2020","Deforestation, 2015-2020","Total Forest Area Affected by Fire, 2015"
56.0,Belgium,677.4,667.3,689.87,689.3,689.3,3028.0,22.76,1.5,0
84.0,Belize,1600.03,1459.3,1391.39,1332.83,1277.05,2281.0,55.99,11.16,...
204.0,Benin,4835.15,4135.15,3635.15,3385.15,3135.15,11276.0,27.8,,...
60.0,Bermuda,1.0,1.0,1.0,1.0,1.0,5.0,20.0,,...
64.0,Bhutan,2506.72,2606.0,2705.29,2715.18,2725.08,3812.0,71.49,0.43,6.2
68.0,Bolivia (Plurinational State of),57804.72,55101.39,53086.01,52027.22,50833.76,108330.0,46.92,242.54,255.87
535.0,"Bonaire, Sint Eustatius and Saba",1.91,1.91,1.91,1.91,1.91,32.2,5.93,,...
70.0,Bosnia and Herzegovina,2210.0,2111.65,2102.66,2160.5,2187.91,5120.0,42.73,,9.47
72.0,Botswana,18803.7,17620.7,16437.7,15846.2,15254.7,56673.0,26.92,,142.92
76.0,Brazil,588898.0,551088.6,511580.7,503884.8,496619.6,835814.0,59.42,1695.7,32998.07
92.0,British Virgin Islands,3.71,3.67,3.64,3.62,3.62,15.0,24.13,,...
96.0,Brunei Darussalam,413.0,397.0,380.0,380.0,380.0,527.0,72.11,,...
100.0,Bulgaria,3327.0,3375.0,3737.0,3833.0,3893.0,10856.0,35.86,0.0,4.3
854.0,Burkina Faso,7716.6,7216.5,6716.5,6466.4,6216.4,27360.0,22.72,,...
108.0,Burundi,276.48,193.94,193.94,279.64,279.64,2568.0,10.89,0.0,47.32
132.0,Cabo Verde,15.38,39.72,42.72,44.22,45.72,403.0,11.34,0.82,0.8
116.0,Cambodia,11004.79,10781.0,10589.23,8846.82,8068.37,17652.0,45.71,,446
120.0,Cameroon,22500.0,21597.49,20900.48,20620.48,20340.48,47271.0,43.03,58.0,...
124.0,Canada,348272.93,347801.97,347322.21,347115.71,346928.1,909351.0,38.15,37.52,3861.65
136.0,Cayman Islands,13.13,12.93,12.72,12.72,12.72,24.0,53.0,0.0,0
140.0,Central African Republic,23203.0,22903.0,22603.0,22453.0,22303.0,62298.0,35.8,30.0,...
148.0,Chad,6730.0,6353.0,5530.0,4890.0,4313.0,125920.0,3.43,,...
152.0,Chile,15246.05,15817.06,16725.26,17596.08,18210.7,74353.0,24.49,9.4,74.95
156.0,China,157140.59,177000.55,200610.38,210294.25,219978.18,942470.0,23.34,133.2,12.94
170.0,Colombia,64958.14,62735.5,60807.79,60134.66,59141.91,110950.0,53.31,199.23,...
174.0,Comoros,46.06,41.68,37.3,35.11,32.92,186.0,17.7,,...
178.0,Congo,22315.0,22195.0,22075.0,22015.0,21946.0,34150.0,64.26,13.8,...
184.0,Cook Islands,14.91,15.57,15.59,15.59,15.59,24.0,64.96,,...
188.0,Costa Rica,2907.4,2857.22,2871.2,2953.03,3034.87,5106.0,59.44,0.0,2
384.0,Côte dIvoire,7850.86,5094.45,3965.58,3401.15,2836.71,31800.0,8.92,,...
191.0,Croatia,1850.0,1885.0,1920.0,1922.0,1939.11,5596.0,34.65,0.05,1.77
192.0,Cuba,2058.0,2435.0,2932.0,3184.0,3242.0,10402.0,31.17,0.0,8.39
531.0,Curaçao,0.07,0.07,0.07,0.07,0.07,44.4,0.16,,...
196.0,Cyprus,161.11,171.61,172.84,172.71,172.53,924.0,18.67,,0.03
203.0,Czechia,2629.42,2637.29,2657.38,2668.39,2677.09,7721.0,34.67,,0.34
408.0,Democratic People's Republic of Korea,6912.03,6454.69,6242.39,6136.24,6030.09,12041.0,50.08,23.19,38.35
180.0,Democratic Republic of the Congo,150629.0,143899.0,137169.0,131662.12,126155.24,226705.0,55.65,,...
208.0,Denmark,531.44,571.6,586.49,624.68,628.44,4199.0,14.97,0.62,0
262.0,Djibouti,5.6,5.6,5.6,5.6,5.8,2318.0,0.25,0.16,...
